#& Sector Superlayer Slot Cable T0Correction T0Error
1	 1	 1	 1	 1.343440	 1.858230
1	 1	 1	 2	 1.639595	 1.186452
1	 1	 1	 3	 2.152554	 0.949981
1	 1	 1	 4	 -1.190651	 1.316257
1	 1	 1	 5	 1.870741	 0.946971
1	 1	 1	 6	 2.030173	 0.954763
1	 1	 2	 1	 1.158382	 1.030740
1	 1	 2	 2	 1.256666	 1.066127
1	 1	 2	 3	 2.696512	 0.971850
1	 1	 2	 4	 2.005152	 1.116193
1	 1	 2	 5	 2.939520	 1.000620
1	 1	 2	 6	 3.915272	 0.016242
1	 1	 3	 1	 1.925497	 1.066577
1	 1	 3	 2	 4.425349	 1.611157
1	 1	 3	 3	 0.962086	 0.990383
1	 1	 3	 4	 2.181771	 1.119994
1	 1	 3	 5	 2.127863	 1.155604
1	 1	 3	 6	 2.156608	 2.034953
1	 1	 4	 1	 1.245752	 1.035222
1	 1	 4	 2	 2.585399	 1.263523
1	 1	 4	 3	 -1.932911	 1.730029
1	 1	 4	 4	 0.136351	 1.505159
1	 1	 4	 5	 3.277816	 1.132645
1	 1	 4	 6	 3.082295	 1.415271
1	 1	 5	 1	 -0.694491	 1.516544
1	 1	 5	 2	 1.344968	 1.589573
1	 1	 5	 3	 2.732401	 1.568271
1	 1	 5	 4	 2.219703	 1.342077
1	 1	 5	 5	 3.512460	 2.765386
1	 1	 5	 6	 -1.522587	 3.517894
1	 1	 6	 1	 3.440559	 3.437913
1	 1	 6	 2	 -2.565017	 5.667803
1	 1	 6	 3	 1.736783	 2.043770
1	 1	 6	 4	 2.706873	 4.478926
1	 1	 6	 5	 2.078611	 2.559832
1	 1	 6	 6	 0.891000	 4.060295
1	 1	 7	 1	 6.410392	 4.713004
1	 1	 7	 2	 -3.396213	 6.199517
1	 1	 7	 3	 3.327392	 0.126261
1	 1	 7	 4	 -13.485260	 20.037076
1	 1	 7	 5	 2.530697	 0.131229
1	 1	 7	 6	 3.669702	 0.220162
1	 2	 1	 1	 -20.114984	 6.208347
1	 2	 1	 2	 -17.819520	 1.941266
1	 2	 1	 3	 -19.465703	 2.321050
1	 2	 1	 4	 -18.891634	 2.076894
1	 2	 1	 5	 -18.528836	 1.828412
1	 2	 1	 6	 -20.101231	 2.454320
1	 2	 2	 1	 -20.016035	 2.343637
1	 2	 2	 2	 -18.117867	 1.881292
1	 2	 2	 3	 -23.879281	 3.897437
1	 2	 2	 4	 -20.548947	 2.880466
1	 2	 2	 5	 -20.113138	 2.595640
1	 2	 2	 6	 -20.162034	 0.018158
1	 2	 3	 1	 -19.385036	 2.261512
1	 2	 3	 2	 -22.578473	 2.519870
1	 2	 3	 3	 -21.851455	 3.248921
1	 2	 3	 4	 -19.795030	 2.585614
1	 2	 3	 5	 -21.639972	 3.490744
1	 2	 3	 6	 -22.483998	 3.909707
1	 2	 4	 1	 -22.156841	 3.071144
1	 2	 4	 2	 -19.791518	 2.690965
1	 2	 4	 3	 -22.982554	 2.566306
1	 2	 4	 4	 -20.414581	 2.262633
1	 2	 4	 5	 -19.594634	 0.027085
1	 2	 4	 6	 -21.472721	 3.979507
1	 2	 5	 1	 -21.510861	 3.808022
1	 2	 5	 2	 -23.117867	 5.300647
1	 2	 5	 3	 -23.560830	 5.492148
1	 2	 5	 4	 -23.853040	 6.501364
1	 2	 5	 5	 -24.401949	 7.688698
1	 2	 5	 6	 -19.829834	 0.045449
1	 2	 6	 1	 -22.559349	 6.768791
1	 2	 6	 2	 -18.593269	 4.388779
1	 2	 6	 3	 -21.029613	 6.155942
1	 2	 6	 4	 -22.618380	 6.084163
1	 2	 6	 5	 -20.616834	 0.075428
1	 2	 6	 6	 -19.650134	 0.105442
1	 2	 7	 1	 -24.302978	 7.721002
1	 2	 7	 2	 -24.064887	 6.320109
1	 2	 7	 3	 -20.362634	 0.142191
1	 2	 7	 4	 -24.743082	 10.529604
1	 2	 7	 5	 -20.092834	 0.176544
1	 2	 7	 6	 -22.391234	 0.152579
1	 3	 1	 1	 -15.165393	 3.818290
1	 3	 1	 2	 -13.953893	 0.073424
1	 3	 1	 3	 -16.515793	 0.032217
1	 3	 1	 4	 -16.498193	 0.029691
1	 3	 1	 5	 -16.404585	 1.323915
1	 3	 1	 6	 -15.506893	 0.027887
1	 3	 2	 1	 -16.739093	 0.028137
1	 3	 2	 2	 -17.082631	 1.495235
1	 3	 2	 3	 -16.946393	 0.028799
1	 3	 2	 4	 -17.808381	 1.644542
1	 3	 2	 5	 -16.799249	 1.537958
1	 3	 2	 6	 -15.396293	 0.028262
1	 3	 3	 1	 -16.634393	 0.027344
1	 3	 3	 2	 -16.608588	 1.414659
1	 3	 3	 3	 -17.302819	 1.638077
1	 3	 3	 4	 -16.189393	 0.034081
1	 3	 3	 5	 -16.894152	 1.592300
1	 3	 3	 6	 -16.277427	 1.485184
1	 3	 4	 1	 -15.361193	 0.038213
1	 3	 4	 2	 -17.158072	 1.668790
1	 3	 4	 3	 -15.642893	 0.048464
1	 3	 4	 4	 -19.457469	 2.585514
1	 3	 4	 5	 -17.041391	 2.018120
1	 3	 4	 6	 -17.872704	 2.260342
1	 3	 5	 1	 -14.193693	 0.062650
1	 3	 5	 2	 -15.025293	 0.068546
1	 3	 5	 3	 -19.164260	 3.741207
1	 3	 5	 4	 -14.745993	 0.077177
1	 3	 5	 5	 -13.839393	 0.124744
1	 3	 5	 6	 -14.359193	 0.123062
1	 3	 6	 1	 -15.459293	 0.154873
1	 3	 6	 2	 -11.846251	 2.893888
1	 3	 6	 3	 -14.669893	 0.170783
