#& Sector Superlayer T0Correction T0Error
1	 1	 -0.479079	 0.249253
1	 2	 -1.522095	 0.378618
1	 3	 -1.948629	 0.566700
1	 4	 -1.411678	 0.551910
1	 5	 -5.623183	 0.608346
1	 6	 -6.391287	 0.787424
2	 1	 0.070595	 0.334195
2	 2	 -1.695093	 0.379780
2	 3	 -1.610903	 0.696408
2	 4	 -1.568870	 0.585084
2	 5	 -4.222675	 0.762747
2	 6	 -5.383356	 0.822187
3	 1	 -0.517689	 0.281637
3	 2	 -0.624466	 0.349693
3	 3	 -2.647898	 0.672375
3	 4	 -4.034211	 0.774852
3	 5	 -4.543565	 0.660332
3	 6	 -3.840539	 0.752854
4	 1	 -0.293629	 0.432582
4	 2	 0.075386	 0.370152
4	 3	 -1.884102	 0.635877
4	 4	 -3.537397	 0.659243
4	 5	 -4.291880	 0.643280
4	 6	 -5.608089	 0.796248
5	 1	 -0.585228	 0.252487
5	 2	 -1.275263	 0.256357
5	 3	 -1.973465	 0.441833
5	 4	 -2.549147	 0.605738
5	 5	 -5.231722	 0.786269
5	 6	 -4.569745	 0.890238
6	 1	 -0.178453	 0.343280
6	 2	 -0.723512	 0.329309
6	 3	 -1.365343	 0.621974
6	 4	 -3.055306	 0.599208
6	 5	 -1.110724	 0.669416
6	 6	 -4.757852	 0.801264
